AccID,Details,Bill $,Timestamp
48873540,Underwent medical check-up at a clinic.,71.47,23/04/2023
39564786,Spent on weekly grocery shopping.,88.17,24/02/2024
27600771,Spent on weekly grocery shopping.,68.18,25/03/2023
54466100,Purchased travel insurance.,975.92,31/05/2024
17300270,Purchased fresh vegetables and dairy products.,127.1,11/10/2024
27256213,Hotel accommodation payment processed.,161.77,1/8/2024
30320200,Bought electronics and accessories.,20.92,1/4/2023
55400346,Monthly car loan installment paid.,934.54,4/3/2024
60848605,Paid for coffee and snacks at a cafe.,71.66,13/06/2023
64933087,Paid for a haircut at a salon.,10.12,1/1/2024
15886075,Dividend earnings from investments.,9495.5,11/4/2023
22506035,Saved a portion of income for future use.,940.25,12/12/2023
17210473,Paid for a ride-sharing service.,4.15,9/2/2024
26196441,Dividend earnings from investments.,3389.2,29/05/2024
22640750,Paid for a ride-sharing service.,12.36,16/11/2023
26338381,Paid for a professional certification exam.,1296.7,18/10/2024
14666348,Enjoyed a meal at a local diner.,89.34,25/08/2023
45529132,Credit card bill installment settled.,661.32,13/11/2024
24041410,Transferred funds to savings account.,792.82,31/07/2024
36492311,Enjoyed a meal at a local diner.,30,19/08/2023
63170080,Bought a train ticket for daily commute.,32.02,25/03/2024
54600374,Paid for online shopping order.,239.89,20/10/2024
38488899,Paid for water and sewage services.,81.34,7/12/2024
63860037,Mortgage installment payment processed.,870.32,2/11/2024
19767964,Bought a train ticket for daily commute.,4.5,26/07/2023
56399826,Paid for a haircut at a salon.,22.91,30/01/2024
46495615,Underwent medical check-up at a clinic.,333.49,27/03/2024
62706066,Purchased travel insurance.,1995.09,5/11/2023
24108974,Hotel accommodation payment processed.,2444.08,6/8/2024
29775340,Bought textbooks for university.,197.64,4/6/2024
17482193,Doctor consultation fee paid.,36.58,16/08/2024
21210802,Transferred funds to savings account.,301.57,13/12/2023
29428737,Bought movie tickets for an evening show.,26.64,28/03/2024
30684209,Spent on weekly grocery shopping.,70.07,25/07/2024
30528190,Mortgage installment payment processed.,1388.13,21/10/2024
62267648,Spent on weekly grocery shopping.,39.23,25/01/2025
17300594,Paid for home maintenance services.,1876.38,8/5/2024
33619073,Paid for water and sewage services.,207.31,8/9/2023
40310475,Visited an amusement park.,61.26,15/10/2023
18186356,Bought prescription medicines from pharmacy.,159.05,23/03/2024
43492421,Enjoyed a meal at a local diner.,38.88,11/9/2023
52336321,"Bought fruits, bread, and household essentials.",141.28,7/4/2024
56280452,Subscribed to an online streaming service.,129.78,20/08/2024
37154583,Underwent medical check-up at a clinic.,416.87,28/01/2024
31587101,Purchased fresh vegetables and dairy products.,136.16,3/11/2024
41774037,Received freelance project payment.,7137.53,14/12/2024
62917378,Manicure and pedicure service payment.,83.18,10/6/2024
38167343,Paid for water and sewage services.,122.94,14/06/2023
32238594,Paid for a ride-sharing service.,38.8,14/06/2023
40716482,Booked flight tickets for vacation.,4519.88,17/11/2023
62561294,Bonus payment from employer.,4724.87,13/06/2023
64906934,Salary credited to the bank account.,2829.93,13/01/2025
16440327,Bought textbooks for university.,1669.72,30/01/2025
50313372,Paid for online course enrollment.,1462.56,17/05/2024
12600748,Credit card bill installment settled.,1983.88,26/04/2023
56476827,Monthly rent payment processed.,2116.19,27/12/2024
56369582,Spent on weekly grocery shopping.,52.71,11/6/2024
24893757,Electricity bill payment.,107.39,9/1/2025
29753018,Bought groceries from the local supermarket.,102.58,20/09/2023
29911287,Bought prescription medicines from pharmacy.,91.84,21/11/2024
37347636,Bought skincare products from a beauty store.,76.76,30/06/2023
53765395,Spent on weekly grocery shopping.,81.1,28/02/2024
40426090,Paid for a ride-sharing service.,13.09,21/03/2023
33760986,Monthly car loan installment paid.,1531.93,7/8/2024
31616963,Paid for water and sewage services.,218.46,15/07/2023
48206605,Paid for car fuel at a gas station.,7.85,22/05/2024
45108385,Settled monthly internet subscription.,168.13,26/08/2024
26074751,Bought company shares in stock market.,4933.21,13/01/2024
