AccID,Details,Bill $,Timestamp
39438668,Paid for a ride-sharing service.,48.85,16-Jul-23
38704041,Invested in cryptocurrency assets.,3834.06,16-Apr-23
68793374,Paid for a concert ticket.,85.79,11-Feb-24
17440653,Purchased grooming essentials.,12.51,8-Nov-23
69746080,Monthly car loan installment paid.,728.11,29-Jun-23
68152185,Tuition fee payment for the semester.,425.58,2-Jan-25
19155433,Saved a portion of income for future use.,217.76,21-Feb-25
49378428,Bought a train ticket for daily commute.,38.61,8-Oct-23
62155163,Invested in cryptocurrency assets.,1372.05,29-Sep-24
27518816,Bought groceries from the local supermarket.,73.58,26-Sep-23
64837730,Gas bill payment for the household.,274.05,26-Jan-24
45141681,Topped up public transport card.,35.36,13-Jun-23
47198068,Paid for online shopping order.,145.07,11-Nov-23
55757068,Paid for water and sewage services.,107.15,8-Jan-24
62005846,Enjoyed a meal at a local diner.,83.13,23-Aug-24
72819917,Paid for a ride-sharing service.,25.73,30-Mar-24
65749143,Bought a train ticket for daily commute.,22.53,18-Aug-24
53465367,Subscribed to an online streaming service.,17.27,7-Apr-24
38421673,Paid for car rental services.,718.2,16-Oct-24
61294363,Bought groceries from the local supermarket.,74.83,17-May-23
22284484,Personal loan EMI payment.,1146.88,12-Oct-23
64816197,Paid for a ride-sharing service.,31.78,5-Aug-24
57319387,Bought a train ticket for daily commute.,23.43,10-Apr-23
56979283,Paid for a professional certification exam.,894.63,25-Dec-23
80704308,Mortgage installment payment processed.,1923.55,5-Nov-24
49000367,Spent on weekly grocery shopping.,105.89,13-Sep-24
64433192,Invested in cryptocurrency assets.,2926.58,13-Sep-23
86556711,Purchased fresh vegetables and dairy products.,81.62,4-Oct-23
70230303,Had dinner at an Italian restaurant.,51,8-Jul-24
59202729,Received freelance project payment.,8408.65,27-Nov-24
30516632,Bought groceries from the local supermarket.,132.49,7-Apr-23
53636041,Spent on weekly grocery shopping.,43.29,26-Jan-25
82251759,Topped up public transport card.,11.5,14-May-23
56453029,Bought groceries from the local supermarket.,145.12,11-Apr-23
57248047,Paid for home maintenance services.,2866.06,29-Mar-24
76480039,Paid for car fuel at a gas station.,14.81,10-Jun-24
16083661,Electricity bill payment.,167,29-Mar-24
76447246,Monthly rent payment processed.,1368.63,20-May-24
81000752,Paid for online shopping order.,334.98,1-Dec-24
66705416,Purchased fresh vegetables and dairy products.,123.7,26-Jan-25
77582300,Paid for car fuel at a gas station.,32.32,19-Apr-23
44150322,Lunch at a fast food outlet.,72.6,21-Sep-24
86846695,Bought a train ticket for daily commute.,41.2,10-Mar-24
40956838,Spent on weekly grocery shopping.,130.75,2-May-24
81360114,Saved a portion of income for future use.,225.08,6-Mar-24
75072719,Bought groceries from the local supermarket.,194.51,24-Jan-24
18508631,Spent on weekly grocery shopping.,62.24,22-May-23
83178058,Paid for car fuel at a gas station.,43.27,28-Oct-24
65960615,Paid for coffee and snacks at a cafe.,32.68,17-Apr-23
21574805,Topped up public transport card.,5.6,21-Jul-23
62132416,Monthly rent payment processed.,2992.69,23-Feb-25
51389561,Received freelance project payment.,9018.37,2-Dec-23
