AccID,Details,Bill $,Timestamp
73351905,"Bought fruits, bread, and household essentials.",176.02,2/14/2024
51291420,Paid for car fuel at a gas station.,47.18,7/27/2023
52889776,Purchased clothing from a retail store.,496.19,9/13/2023
71518977,"Bought fruits, bread, and household essentials.",92.97,7/22/2023
66673352,"Bought fruits, bread, and household essentials.",62.72,4/23/2024
64337490,Bought groceries from the local supermarket.,31.06,9/14/2023
38894884,Topped up public transport card.,21.99,12/10/2024
61872590,Purchased clothing from a retail store.,292.28,9/26/2024
37959439,Bought electronics and accessories.,308.25,3/20/2024
50887255,Personal loan EMI payment.,1796.58,6/23/2024
53079129,Purchased fresh vegetables and dairy products.,104.68,9/21/2024
45490211,Paid for a ride-sharing service.,34.13,8/28/2024
22083123,Paid for water and sewage services.,66.25,12/23/2023
39507115,Purchased home decor items.,90.12,11/22/2024
74034452,Paid for car fuel at a gas station.,19.86,9/5/2024
13532288,Paid for car fuel at a gas station.,46.01,11/18/2024
27028633,Paid for a ride-sharing service.,16.05,3/22/2023
62512130,Bought groceries from the local supermarket.,176.66,9/16/2024
24870450,Paid for online shopping order.,373.03,7/7/2024
86227071,Bought a train ticket for daily commute.,37.78,10/21/2024
32468826,Bought prescription medicines from pharmacy.,148.08,9/7/2024
68864682,Purchased fresh vegetables and dairy products.,34.77,6/16/2024
97665279,Underwent medical check-up at a clinic.,73.26,10/30/2023
52767625,Settled utility bills for the apartment.,2209.82,1/8/2025
23509380,Subscribed to an online streaming service.,52.55,3/17/2024
20204012,Paid for a ride-sharing service.,3.88,12/28/2024
53478434,Mutual fund investment transaction.,1764.43,10/30/2024
94400864,Enjoyed a meal at a local diner.,69.9,3/12/2025
76197406,Purchased fresh vegetables and dairy products.,138.6,11/28/2023
58616353,Topped up public transport card.,4.24,2/18/2025
82790698,Bought skincare products from a beauty store.,33.83,9/14/2024
78636411,Bought a train ticket for daily commute.,48.83,1/18/2025
75337330,Enjoyed a meal at a local diner.,76.02,6/10/2023
12495489,Paid for car fuel at a gas station.,45.39,9/5/2024
91333329,Paid for a ride-sharing service.,29.26,11/21/2023
42644770,Purchased fresh vegetables and dairy products.,45.93,10/14/2023
43086307,Bought electronics and accessories.,122.05,2/8/2025
